id,student_id,question_id,topic,subtopic,question_level,answer,date,duration,option_selected
7057,1411,288,18,11,4,0,2020-01-08 09:54:50+00,,
7058,1411,781,18,11,4,0,2020-01-08 09:54:50+00,,
7059,1411,292,18,11,1,0,2020-01-08 09:54:50+00,,
7060,1411,306,18,11,2,0,2020-01-08 09:54:50+00,,
7061,1411,385,18,11,1,0,2020-01-08 09:54:50+00,,
7062,1411,778,18,11,1,0,2020-01-08 09:54:50+00,,
7063,1271,289,18,11,4,0,2020-01-08 09:55:26+00,,
7064,1271,293,18,11,2,1,2020-01-08 09:55:26+00,,
7065,1271,382,18,11,1,0,2020-01-08 09:55:26+00,,
7066,1271,385,18,11,1,0,2020-01-08 09:55:26+00,,
7067,1271,779,18,11,4,1,2020-01-08 09:55:26+00,,
7068,1271,782,18,11,1,0,2020-01-08 09:55:26+00,,
7069,1271,381,18,11,4,0,2020-01-08 09:55:26+00,,
7070,1252,781,18,11,4,0,2020-01-08 09:55:44+00,,
7071,1252,779,18,11,4,0,2020-01-08 09:55:44+00,,
7072,1252,782,18,11,1,0,2020-01-08 09:55:44+00,,
7073,1252,778,18,11,1,1,2020-01-08 09:55:44+00,,
7074,1252,380,18,11,1,1,2020-01-08 09:55:44+00,,
7075,1252,290,18,11,2,1,2020-01-08 09:55:44+00,,
7076,1252,381,18,11,4,0,2020-01-08 09:55:44+00,,
7077,1428,382,18,11,1,0,2020-01-08 09:56:26+00,,
7078,1428,306,18,11,2,1,2020-01-08 09:56:26+00,,
7079,1428,781,18,11,4,1,2020-01-08 09:56:26+00,,
7080,1428,782,18,11,1,0,2020-01-08 09:56:26+00,,
7081,1428,381,18,11,4,0,2020-01-08 09:56:26+00,,
7082,1428,278,18,11,1,0,2020-01-08 09:56:26+00,,
7083,1428,290,18,11,2,0,2020-01-08 09:56:26+00,,
7084,1351,247,18,,2,0,2020-01-08 09:57:57+00,,
7085,1351,913,18,,1,1,2020-01-08 09:57:57+00,,
7086,1351,293,18,,2,1,2020-01-08 09:57:57+00,,
7087,1351,126,18,,2,0,2020-01-08 09:57:57+00,,
7088,1351,235,18,,1,-1,2020-01-08 09:57:57+00,,
7089,1351,381,18,,4,0,2020-01-08 09:57:57+00,,
7090,1351,289,18,,4,1,2020-01-08 09:57:57+00,,
7091,1427,781,18,11,4,1,2020-01-08 09:58:58+00,,
7092,1427,288,18,11,4,0,2020-01-08 09:58:58+00,,
7093,1427,782,18,11,1,1,2020-01-08 09:58:58+00,,
7094,1427,293,18,11,2,1,2020-01-08 09:58:58+00,,
7095,1427,278,18,11,1,0,2020-01-08 09:58:58+00,,
7096,1427,380,18,11,1,0,2020-01-08 09:58:58+00,,
7097,1427,306,18,11,2,0,2020-01-08 09:58:58+00,,
7098,1351,306,18,11,2,1,2020-01-08 09:59:13+00,,
