id,student_id,question_id,topic,subtopic,question_level,answer,date,duration,option_selected
21308,3443,646,18,7,1,0,2024-06-13 06:43:09+00,,
21309,3441,650,18,7,1,0,2024-06-13 06:43:16+00,,
21310,3443,633,18,7,1,1,2024-06-13 06:43:22+00,,
21311,3442,124,18,7,1,1,2024-06-13 06:43:31+00,,
21312,3443,139,18,7,2,1,2024-06-13 06:43:39+00,,
21313,3443,634,18,7,3,0,2024-06-13 06:43:53+00,,
21314,3443,648,18,7,2,0,2024-06-13 06:44:01+00,,
21315,3441,633,18,7,1,1,2024-06-13 06:44:07+00,,
21316,3444,638,18,7,1,0,2024-06-13 06:44:10+00,,
21317,3442,139,18,7,2,0,2024-06-13 06:44:14+00,,
21318,3442,633,18,7,1,1,2024-06-13 06:44:38+00,,
21319,3442,648,18,7,2,0,2024-06-13 06:44:56+00,,
21320,3444,633,18,7,1,1,2024-06-13 06:45:02+00,,
21321,3442,125,18,7,1,0,2024-06-13 06:45:04+00,,
21322,3441,139,18,7,2,1,2024-06-13 06:45:40+00,,
21323,3443,1551,7,2,1,0,2024-06-13 06:45:41+00,,
21324,3444,139,18,7,2,0,2024-06-13 06:45:43+00,,
21325,3443,665,7,2,1,0,2024-06-13 06:45:44+00,,
21326,3443,793,7,2,1,1,2024-06-13 06:45:48+00,,
21327,3443,690,7,2,2,0,2024-06-13 06:45:51+00,,
21328,3443,666,7,2,1,0,2024-06-13 06:45:57+00,,
21329,3444,125,18,7,1,0,2024-06-13 06:46:05+00,,
21330,3444,639,18,7,1,1,2024-06-13 06:46:21+00,,
21331,3444,648,18,7,2,1,2024-06-13 06:46:37+00,,
21332,3441,634,18,7,3,0,2024-06-13 06:47:24+00,,
21333,3442,1568,7,2,1,0,2024-06-13 06:47:28+00,,
21334,3442,665,7,2,1,1,2024-06-13 06:47:34+00,,
21335,3442,690,7,2,2,0,2024-06-13 06:47:45+00,,
21336,3442,793,7,2,1,0,2024-06-13 06:47:50+00,,
21337,3442,666,7,2,1,0,2024-06-13 06:47:55+00,,
21338,3441,648,18,7,2,1,2024-06-13 06:47:58+00,,
21339,3019,1418,28,47,1,0,2024-06-17 01:05:00+00,,
21340,3019,1339,28,47,1,1,2024-06-17 01:05:04+00,,
21341,3019,1343,28,47,2,0,2024-06-17 01:05:08+00,,
21342,3019,1411,28,47,1,1,2024-06-17 01:05:11+00,,
21343,3445,251,18,9,1,1,2024-06-17 03:09:25+00,,
21344,3445,90,18,9,2,0,2024-06-17 03:10:18+00,,
21345,3445,237,18,9,1,1,2024-06-17 03:11:14+00,,
21346,3445,227,18,9,2,1,2024-06-17 03:13:35+00,,
21347,3445,231,18,9,3,0,2024-06-17 03:15:12+00,,
21348,80,881,4,4,4,0,2024-07-23 09:31:28+00,,
21349,80,878,4,4,3,0,2024-07-23 09:31:30+00,,
21350,80,880,4,4,2,0,2024-07-23 09:31:33+00,,
21351,80,269,4,4,1,0,2024-07-23 09:31:35+00,,
21352,80,260,4,4,1,0,2024-07-23 09:31:37+00,,
21353,80,1035,4,42,2,0,2024-07-23 09:32:42+00,,
21354,80,1044,4,42,1,0,2024-07-23 09:32:44+00,,
21355,80,1046,4,42,1,1,2024-07-23 09:32:46+00,,
21356,80,1036,4,42,2,0,2024-07-23 09:32:48+00,,
21357,80,1041,4,42,1,1,2024-07-23 09:32:51+00,,
21358,80,159,16,,2,0,2024-08-30 18:00:32+00,,
21359,80,891,16,,1,0,2024-08-30 18:01:17+00,,
21360,80,892,16,,1,1,2024-08-30 18:01:24+00,,
21361,80,156,16,,2,0,2024-08-30 18:01:42+00,,
21362,80,160,16,,1,0,2024-08-30 18:01:50+00,,
21363,80,822,12,13,3,0,2024-08-30 18:04:12+00,,
21364,80,860,12,13,2,0,2024-08-30 18:04:19+00,,
21365,80,1053,12,13,1,0,2024-08-30 18:04:28+00,,
21366,80,1011,12,13,1,-1,2024-08-30 18:04:58+00,,
21367,80,152,12,13,1,0,2024-08-30 18:05:08+00,,
21368,80,824,12,13,1,0,2024-08-30 18:21:17+00,,
21369,80,827,12,13,1,1,2024-08-30 18:21:27+00,,
21370,80,820,12,13,2,1,2024-08-30 18:21:34+00,,
21371,80,823,12,13,3,0,2024-08-30 18:21:57+00,,
21372,80,858,12,13,2,0,2024-08-30 18:22:07+00,,
21373,80,1696,12,13,1,0,2024-08-30 18:23:27+00,,
21374,80,1211,12,13,1,0,2024-08-30 18:23:37+00,,
21375,80,2060,12,13,1,0,2024-08-30 18:23:42+00,,
21376,80,1948,12,13,1,-1,2024-08-30 18:24:42+00,,
21377,80,826,12,13,1,0,2024-08-30 18:24:51+00,,
21378,80,825,12,13,1,0,2024-08-30 18:27:28+00,,
21379,80,2056,12,13,1,-1,2024-08-30 18:27:53+00,,
21380,80,2058,12,13,1,0,2024-08-30 18:28:06+00,,
21381,80,1053,12,13,1,0,2024-08-30 18:28:16+00,,
21382,80,1011,12,13,1,-1,2024-08-30 18:29:19+00,,
21383,80,1709,25,,1,0,2024-09-20 09:12:07+00,,
21384,80,574,25,,1,0,2024-09-20 09:12:13+00,,
21385,80,567,25,,1,-1,2024-09-20 09:12:19+00,,
21386,80,547,25,,1,0,2024-09-20 09:12:23+00,,
21387,80,559,25,,1,0,2024-09-20 09:12:28+00,,
21393,80,829,16,,1,0,2024-09-30 06:26:31+00,,
21394,80,830,16,,1,-1,2024-09-30 06:26:36+00,,
21395,80,831,16,,1,1,2024-09-30 06:26:40+00,,
21396,80,836,16,,2,0,2024-09-30 06:26:44+00,,
21397,80,889,16,,1,1,2024-09-30 06:26:47+00,,
21398,997,633,18,7,1,1,2024-10-03 05:41:19+00,,
21399,997,139,18,7,2,0,2024-10-03 05:41:24+00,,
21400,997,639,18,7,1,1,2024-10-03 05:41:28+00,,
21401,997,648,18,7,2,1,2024-10-03 05:42:05+00,,
21402,997,634,18,7,3,0,2024-10-03 05:42:12+00,,
21403,80,616,18,8,1,0,2024-10-03 06:07:38+00,,
21404,80,849,18,8,1,-1,2024-10-03 06:07:45+00,,
21405,80,848,18,8,1,0,2024-10-03 06:07:52+00,,
21406,80,620,18,8,1,1,2024-10-03 06:07:58+00,,
21407,80,624,18,8,2,1,2024-10-03 06:08:03+00,,
21408,91,419,18,10,1,-1,2024-10-03 08:04:50+00,,
21409,91,430,18,10,1,-1,2024-10-03 08:04:56+00,,
21410,91,420,18,10,1,0,2024-10-03 08:25:03+00,,
21411,91,440,18,10,1,0,2024-10-03 08:25:09+00,,
21412,91,446,18,10,1,-1,2024-10-03 08:25:17+00,,
21413,91,447,18,10,1,0,2024-10-03 08:29:19+00,,
21414,91,449,18,10,1,0,2024-10-03 08:29:29+00,,
21415,91,430,18,10,1,0,2024-10-03 08:33:18+00,,
21416,91,420,18,10,1,0,2024-10-03 08:33:30+00,,
21417,91,440,18,10,1,0,2024-10-03 08:33:35+00,,
21418,91,446,18,10,1,0,2024-10-03 08:33:44+00,,
21419,91,447,18,10,1,1,2024-10-03 08:33:48+00,,
21420,91,782,18,11,1,-1,2024-10-03 08:36:10+00,,
21421,91,385,18,11,1,0,2024-10-03 08:36:22+00,,
21422,91,292,18,11,1,1,2024-10-03 08:36:29+00,,
21423,91,306,18,11,2,0,2024-10-03 08:36:33+00,,
21424,91,382,18,11,1,1,2024-10-03 08:36:40+00,,
21425,91,313,18,10,2,0,2024-10-03 08:40:12+00,,
21426,91,441,18,10,1,1,2024-10-03 08:44:07+00,,
21427,91,317,18,10,2,1,2024-10-03 08:44:12+00,,
