id,platformmaterialid,platformtopicid,platformsubtopicid
1274,920,26,
1275,921,26,
1276,922,26,
1277,923,26,
1278,924,26,
1279,925,26,
1280,926,26,
1281,927,26,
1282,928,26,
1283,929,26,
1284,930,26,
1285,931,26,
1286,932,26,
1287,933,26,
1288,935,28,46
1289,936,28,46
1290,937,28,46
1291,938,28,46
1292,939,28,46
1293,940,28,46
1296,906,26,
1297,907,26,
1299,909,26,
1300,910,26,
1301,911,26,
1302,912,26,
1303,913,26,
1304,914,26,
1305,915,26,
1320,943,28,47
1321,944,28,47
1322,946,28,47
1323,947,28,47
1324,948,28,47
1339,934,28,46
1340,941,28,46
1341,942,28,46
1353,966,28,46
1354,967,28,46
1355,968,28,47
1356,969,25,
1357,970,25,
1358,971,25,
1359,972,25,
1360,973,25,
1361,949,28,46
1362,950,28,46
1364,964,18,8
1365,965,18,9
1366,953,25,
1367,955,25,
1368,952,28,46
1369,954,25,
1370,956,25,
1371,957,16,
1372,958,16,
1373,959,18,8
1374,960,18,8
1375,961,18,8
1376,962,18,8
1377,963,18,8
1387,981,14,
1388,982,14,
1389,983,14,
1390,984,14,
1392,986,14,
1395,989,5,6
1396,617,5,6
1397,990,18,7
1398,991,18,7
1399,992,18,8
1400,993,18,8
1401,994,18,8
1402,995,18,8
1403,996,18,8
1405,997,18,8
1406,998,18,8
1409,1000,18,8
1410,999,18,8
1411,1001,18,9
1412,1002,18,9
1413,1003,18,9
1414,1004,18,10
1415,1005,18,10
1416,1006,18,11
1419,604,18,9
1420,491,18,9
1421,1009,3,37
1422,1010,3,37
1423,1011,3,39
1428,974,7,2
1429,975,7,2
1430,1014,3,39
1431,1015,3,39
1432,1016,3,39
1433,1017,3,39
1434,1018,3,39
1435,1019,3,39
1436,1020,3,39
1438,1022,3,39
1439,1023,3,39
1440,1024,3,39
1441,1025,3,39
1442,1026,3,39
1445,1029,15,41
1447,1030,15,41
1448,1031,15,41
1449,1032,15,41
1450,976,7,1
1451,977,7,1
1452,980,17,
1453,979,17,
1454,978,17,
1455,985,14,
1456,988,4,4
1457,987,4,3
1458,1007,18,9
1459,1008,18,7
1460,1028,3,37
1461,1027,3,39
1462,1021,3,39
1463,1013,3,39
1464,1012,3,39
1465,898,10,
1466,375,10,
1467,189,16,
1468,188,16,
1469,178,16,
1470,176,16,
1471,163,16,
1472,221,4,42
1473,222,4,4
1474,220,4,4
1475,951,28,46
1476,895,7,2
1477,894,7,2
1478,893,7,2
1479,892,7,2
1480,889,7,2
1481,888,7,2
1482,44,7,2
1483,265,7,1
1484,264,7,1
1485,270,7,1
1486,261,7,1
1487,262,7,1
1488,258,7,1
1489,236,22,
1490,237,22,
1491,241,22,
1492,239,22,
1493,238,22,
1494,242,22,
1496,244,22,
1497,243,22,
1498,138,5,5
1501,206,12,13
1502,208,12,13
1504,253,17,
1505,254,17,
1506,255,17,
1507,252,17,
1508,251,17,
1509,250,17,
1511,1033,10,
1512,1034,22,
1513,1035,22,
1514,1036,22,
1515,1037,5,44
1516,1038,5,44
1517,1039,5,44
1519,1040,5,53
